text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
"""@AirAsia #AirAsia will be abolishing fuel surcharge effective 26 Jan 2015 http://t.co/Uu861vhyzG"" FINALLY! Took so long to drop, increase?",22919665,"26 January 2015, 6:06:11 PM",559547903346098178,559668618581925888,['559668618581925888'],132381420,saroki19,POS,0.8738712072372437
@AirAsia Good news for those who will be booking their next flight with #AirAsia as they get to enjoy more savings #LeadTheWay #SaveOnTravel,22919665,"26 January 2015, 3:35:20 PM",559547903346098178,559630656011898881,['559630656011898881'],495742748,lisztan,POS,0.9873145222663879
@AirAsia airport charge rm35 ? Sblm ni KLIA 2 fees...cmner ni?,22919665,"26 January 2015, 2:31:52 PM",559547903346098178,559614685708701696,['559614685708701696'],321377814,DrAwaludinAhmad,NEU,0.8875381946563721
@AirAsia @Ahyino  sas a,22919665,"26 January 2015, 12:48:17 PM",559547903346098178,559588616620371969,['559588616620371969'],300054234,ZulAzizie,NEU,0.9628191590309143
@AirAsia I bought a ticket last week for travel 4th Feb. How do I claim my refund pls?,22919665,"26 January 2015, 12:41:31 PM",559547903346098178,559586915582623744,['559586915582623744'],269433791,tom_string,NEU,0.9032458066940308
Whats the catch?“@AirAsia: [NOTICE]AirAsia will be abolishing fuel surcharge effective 26 Jan 2015 across all of its airlines in the group.,22919665,"26 January 2015, 11:37:56 AM",559547903346098178,559570911452356610,['559570911452356610'],24503625,feizalz,NEU,0.9356470108032227
@AirAsia Hobby Game?Dpt uang+Bonus?Yuk Register http://t.co/p09lVeLgJi Hny 10RB Bs Android&amp;IOS GRATIS REGISTER!!Rasakan Sensasinya,22919665,"26 January 2015, 11:35:02 AM",559547903346098178,559570181991563264,['559570181991563264'],2982780330,GraceVero89,NEU,0.9346131086349487
@AirAsia asikkkkkkkkkkkkkkk,22919665,"26 January 2015, 10:41:26 AM",559547903346098178,559556691746750467,['559556691746750467'],183531015,Riskiiseptian,NEU,0.9355688691139221
@AirAsia how about India?,22919665,"26 January 2015, 10:37:42 AM",559547903346098178,559555752868593666,['559555752868593666'],234254017,ripple2387,NEU,0.9693432450294495
@AirAsia i just bought tickets two days ago....,22919665,"26 January 2015, 10:24:40 AM",559547903346098178,559552475967913985,['559552475967913985'],35237460,nazharun,NEU,0.9702174663543701
@AirAsia True or Not and 100% cutting off fuel price,22919665,"26 January 2015, 10:18:03 AM",559547903346098178,559550811009589248,['559550811009589248'],445249929,MiceVision,NEU,0.7935965657234192
@AirAsia will that mean a decrease of flight prices?,22919665,"26 January 2015, 10:10:28 AM",559547903346098178,559548901816926209,['559548901816926209'],389346296,amman_spark,NEG,0.5846523642539978
@AirAsia more people can fly~,22919665,"26 January 2015, 10:08:10 AM",559547903346098178,559548322130579458,['559548322130579458'],150406444,afis_farisxxvii,POS,0.9398295879364014
@AirAsia Will the brand new @airvistara part of this ?,22919665,"26 January 2015, 10:07:19 AM",559547903346098178,559548106425905153,['559548106425905153'],69564507,Atulmaharaj,NEU,0.9585263133049011
