in_reply_to_user_id,author_id,id,conversation_id,created_at,edit_history_tweet_ids,text,author_name,label,score
22919665,132381420,559668618581925888,559547903346098178,2015-01-26T11:06:11.000Z,['559668618581925888'],"""@AirAsia #AirAsia will be abolishing fuel surcharge effective 26 Jan 2015 http://t.co/Uu861vhyzG"" FINALLY! Took so long to drop, increase?",saroki19,NEU,0.7938020825386047
22919665,495742748,559630656011898881,559547903346098178,2015-01-26T08:35:20.000Z,['559630656011898881'],@AirAsia Good news for those who will be booking their next flight with #AirAsia as they get to enjoy more savings #LeadTheWay #SaveOnTravel,lisztan,POS,0.9902680516242981
22919665,321377814,559614685708701696,559547903346098178,2015-01-26T07:31:52.000Z,['559614685708701696'],@AirAsia airport charge rm35 ? Sblm ni KLIA 2 fees...cmner ni?,DrAwaludinAhmad,NEU,0.5126226544380188
22919665,300054234,559588616620371969,559547903346098178,2015-01-26T05:48:17.000Z,['559588616620371969'],@AirAsia @Ahyino  sas a,ZulAzizie,NEU,0.9801772832870483
22919665,269433791,559586915582623744,559547903346098178,2015-01-26T05:41:31.000Z,['559586915582623744'],@AirAsia I bought a ticket last week for travel 4th Feb. How do I claim my refund pls?,tom_string,NEU,0.9722384214401245
22919665,24503625,559570911452356610,559547903346098178,2015-01-26T04:37:56.000Z,['559570911452356610'],Whats the catch?“@AirAsia: [NOTICE]AirAsia will be abolishing fuel surcharge effective 26 Jan 2015 across all of its airlines in the group.,feizalz,NEU,0.9216139912605286
22919665,2982780330,559570181991563264,559547903346098178,2015-01-26T04:35:02.000Z,['559570181991563264'],@AirAsia Hobby Game?Dpt uang+Bonus?Yuk Register http://t.co/p09lVeLgJi Hny 10RB Bs Android&amp;IOS GRATIS REGISTER!!Rasakan Sensasinya,GraceVero89,NEU,0.623598039150238
22919665,183531015,559556691746750467,559547903346098178,2015-01-26T03:41:26.000Z,['559556691746750467'],@AirAsia asikkkkkkkkkkkkkkk,Riskiiseptian,NEU,0.9619377255439758
22919665,234254017,559555752868593666,559547903346098178,2015-01-26T03:37:42.000Z,['559555752868593666'],@AirAsia how about India?,ripple2387,NEU,0.9816988706588745
22919665,35237460,559552475967913985,559547903346098178,2015-01-26T03:24:40.000Z,['559552475967913985'],@AirAsia i just bought tickets two days ago....,nazharun,NEU,0.9631933569908142
22919665,445249929,559550811009589248,559547903346098178,2015-01-26T03:18:03.000Z,['559550811009589248'],@AirAsia True or Not and 100% cutting off fuel price,MiceVision,NEU,0.5040417313575745
22919665,389346296,559548901816926209,559547903346098178,2015-01-26T03:10:28.000Z,['559548901816926209'],@AirAsia will that mean a decrease of flight prices?,amman_spark,NEG,0.5062479376792908
22919665,150406444,559548322130579458,559547903346098178,2015-01-26T03:08:10.000Z,['559548322130579458'],@AirAsia more people can fly~,afis_farisxxvii,NEU,0.5600706934928894
22919665,69564507,559548106425905153,559547903346098178,2015-01-26T03:07:19.000Z,['559548106425905153'],@AirAsia Will the brand new @airvistara part of this ?,Atulmaharaj,NEU,0.9587680697441101
