text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
@flyethiopian 💚💛♥️,334032462,"7 April 2019, 9:38:49 PM",1114403987632132096,1114900338962849792,['1114900338962849792'],771787169933434880,MikaelAfomia,NEU,0.9662548303604126
@flyethiopian You guys are the worst airline ever customer service won’t help me get refund. Honestly worst service I’ve ever received,334032462,"7 April 2019, 8:21:45 PM",1114403987632132096,1114880945520304134,['1114880945520304134'],2608479040,tattirose_x,NEG,0.9835631847381592
@flyethiopian Abraços do Brasil !,334032462,"6 April 2019, 10:32:26 PM",1114403987632132096,1114551446714949633,['1114551446714949633'],100038253,jonathas73,NEU,0.8243623375892639
@flyethiopian I swear to you that this is the last time I put your feet in your devices.,334032462,"6 April 2019, 8:39:09 PM",1114403987632132096,1114522937011396609,['1114522937011396609'],855208957312413696,loick_le_mizz,NEG,0.9523739814758301
@flyethiopian we have tickets well paid but we missed the flight so we need to know what to do.  there are people with me who are already sick because they have neither drunk water nor eaten.  you write you do not say anything.  after you go sing the pan-African company slogan.,334032462,"6 April 2019, 8:39:03 PM",1114403987632132096,1114522912885751809,['1114522912885751809'],855208957312413696,loick_le_mizz,NEG,0.9554509520530701
@flyethiopian it's really not nice to leave us here this way.  May God give you the thing.  I have been trying to write since the morning because we need help here at Dubai International Airport but as you are interested it is money and nothing but money.,334032462,"6 April 2019, 8:38:39 PM",1114403987632132096,1114522812302155776,['1114522812302155776'],855208957312413696,loick_le_mizz,NEG,0.8199142813682556
"@flyethiopian I'm not gonna deny Ethiopian Airlines' Hospitality and Humbleness but plz taste me the Cup on 25MAY2019 I'll be on board
Thanks",334032462,"6 April 2019, 5:11:36 PM",1114403987632132096,1114470703594647553,['1114470703594647553'],878405546013073409,dhuloow,POS,0.9627826809883118
@flyethiopian Where do you see the exceptional Ethiopian taste and hospitality ?You should be foolish and joking to see it in this guarded fearsomely smile. You need rock solid proof for this;come out to town  and it is all around at the street level and noting extraordinary but may be horny.,334032462,"6 April 2019, 3:53:25 PM",1114403987632132096,1114451030920630272,['1114451030920630272'],879953537551257600,AbebeRetta,NEU,0.7771692872047424
@flyethiopian I’m frequent flyer ... Wednesday Am En route EBB,334032462,"6 April 2019, 2:45:08 PM",1114403987632132096,1114433845586202624,['1114433845586202624'],2347171330,izakOgzi,NEU,0.9435661435127258
@flyethiopian please we are at Dubai International Airport and we needed help please.,334032462,"6 April 2019, 2:37:29 PM",1114403987632132096,1114431919326924800,['1114431919326924800'],855208957312413696,loick_le_mizz,NEU,0.9546250104904175
@flyethiopian woW Am Ethio,334032462,"6 April 2019, 1:55:57 PM",1114403987632132096,1114421467322695680,['1114421467322695680'],1114164712655216640,alemu15855593,POS,0.6530829071998596
@flyethiopian Wishing you always the best @flyethiopian,334032462,"6 April 2019, 12:51:20 PM",1114403987632132096,1114405205414678528,['1114405205414678528'],2274705394,samiabdalla340,POS,0.9904236197471619
