text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
@flyethiopian Yaa I ready for,334032462,"9 March 2019, 11:50:15 AM",1103651144675614721,1104242973515100160,['1104242973515100160'],1102188822308290561,Mohamed86791288,NEU,0.7330949902534485
@flyethiopian Sure! The Clock is ticking... Where is   @lucaswafula 's Luggage? @mikikimwang @kutasimiyu @MuthuiMkenya how do you fly someone's luggage and leave the owners behind? How many more days before he gets his property?#Fridaythoughts #SemaNaCitizen #SatisfyMe,334032462,"8 March 2019, 10:13:05 PM",1103651144675614721,1104037327020658690,['1104037327020658690'],103800136,Timranks,NEU,0.9307611584663391
@flyethiopian @DiBrown5 Soft and beautiful pilot 👩‍✈️,334032462,"8 March 2019, 4:20:21 PM",1103651144675614721,1103948557533569024,['1103948557533569024'],296721016,mr_onions101,POS,0.9879476428031921
@flyethiopian That captain😍😍 she's so beautiful,334032462,"8 March 2019, 2:30:04 PM",1103651144675614721,1103920805056995329,['1103920805056995329'],1085223876827774976,futurist_son,POS,0.9886088371276855
"@flyethiopian Really? Still waiting for my luggage lost October 26,2018. The worst customer service ever. I have been successful telling people not to use this airline and I will continue until my luggage is found. #Boycottethiopianairline.",334032462,"8 March 2019, 4:30:48 AM",1103651144675614721,1103769996306640902,['1103769996306640902'],279213337,huruyGK,NEG,0.9811907410621643
@flyethiopian In addition to your prestigious carrier you are beautiful,334032462,"8 March 2019, 3:16:15 AM",1103651144675614721,1103751233221865472,['1103751233221865472'],960473829041635328,BisengimanaJon2,POS,0.990404486656189
@flyethiopian @JoshSbSessions always make sure you only fly Ethiopian Airline. I hope we are together on this hehehe.,334032462,"8 March 2019, 2:32:32 AM",1103651144675614721,1103740232594268160,['1103740232594268160'],361158790,JalumJ,POS,0.8430917859077454
@flyethiopian @MariaSTsehai Tchaaa shangazi @MariaSTsehai tafadhali tafadhali naomba nitafutie mchumba Ethiopia.,334032462,"8 March 2019, 12:20:19 AM",1103651144675614721,1103706958983585799,['1103706958983585799'],334589667,RealLuisMo,NEU,0.9681738615036011
@flyethiopian Very proud of you ladies! Bon voyage!,334032462,"7 March 2019, 11:03:27 PM",1103651144675614721,1103687616019480577,['1103687616019480577'],2725435124,dessmoll2019,POS,0.9925985336303711
@flyethiopian Good luck to those who will be part of this flight https://t.co/p4EUY2wp76,334032462,"7 March 2019, 10:46:23 PM",1103651144675614721,1103683319236046849,['1103683319236046849'],1102499034877620225,WSAVIATION,POS,0.9869369864463806
@flyethiopian Stop sponsorship for genocide midea ❌#esat https://t.co/Bey4F2U36S,334032462,"7 March 2019, 10:29:33 PM",1103651144675614721,1103679084238913542,['1103679084238913542'],1028619837998858242,MusiSoliyana,NEG,0.86570143699646
@flyethiopian Foolish and trash advert.,334032462,"7 March 2019, 9:57:50 PM",1103651144675614721,1103671100507074560,['1103671100507074560'],879953537551257600,AbebeRetta,NEG,0.9820753931999207
@flyethiopian 🔥🔥🔥🔥🔥🔥,334032462,"7 March 2019, 8:53:50 PM",1103651144675614721,1103654997181501440,['1103654997181501440'],1076600989468246023,Manzman6,NEU,0.9692748785018921
