edit_history_tweet_ids,in_reply_to_user_id,author_id,text,id,created_at,conversation_id,author_name,label,score
['1114452438734528513'],334032462,958420414438559745,"@flyethiopian Mr. Muilenburg, you should include a resignation, including your colleagues in the management. This is a big boeing blame, and you should react! It is a nice gesture that you apologized, but it will not return those lives.....",1114452438734528513,2019-04-06T08:59:01.000Z,1113719943537790976,Tomas40916602,NEU,0.7429237365722656
['1114441763782045696'],334032462,872622285659688960,"@flyethiopian It is better for Ethiopian Airlines to cancel its orders for the 737 max 8 and buy 737-800 or 737-900 or opt for the Airbus A320 Neo. Even after the ""fix"" the 737 max will not be trusted by the flying public.",1114441763782045696,2019-04-06T08:16:36.000Z,1113719943537790976,DaruBest,NEG,0.6383081674575806
['1114119785690931200'],334032462,872622285659688960,@flyethiopian Boeing just identified a second problem with their deadly 737 max.,1114119785690931200,2019-04-05T10:57:10.000Z,1113719943537790976,DaruBest,NEG,0.887128472328186
['1114118286562689025'],334032462,124794635,"@flyethiopian @EthioEmbassyUK I am so sad about this, for all of you. And for the pilots especially doing the best they could do against a plane which was so rigged against them.",1114118286562689025,2019-04-05T10:51:13.000Z,1113719943537790976,helenaverley,NEG,0.9529878497123718
['1114081154381099008'],334032462,796169874745786369,"@flyethiopian Cameroonian here, you guys make us proud. We stand with you. May your pain lessen with time.",1114081154381099008,2019-04-05T08:23:40.000Z,1113719943537790976,PinyinGeh,POS,0.9585868716239929
['1114065856730882048'],334032462,764345872830332928,"@flyethiopian Who ever had a doubts about Ethiopian Airlines &amp; staff Note down on you diary and learn lesson from now on.
 The airline to be proud &amp; follow their footsteps, “Ethiopian Airlines and their staff &amp; leadership”
We will be proud of you for ever!!",1114065856730882048,2019-04-05T07:22:53.000Z,1113719943537790976,gebayire,POS,0.989976704120636
['1114043896328151040'],334032462,1018895486676185088,@flyethiopian What a wonderful leadership and competent professionalism shown from ET for the whole world following this tragic accident.,1114043896328151040,2019-04-05T05:55:37.000Z,1113719943537790976,Muluget94060789,POS,0.9274072051048279
['1114019370462863360'],334032462,98722930,@flyethiopian Great writing,1114019370462863360,2019-04-05T04:18:10.000Z,1113719943537790976,alexiopia,POS,0.9663110375404358
['1113957887456567296'],334032462,4047298407,@flyethiopian Heartfelt condolences to all who lost their loved ones. Proud of Ethiopian Airlines for teaching the pilots all the necessary procedures. Proud of the pilots who fought till the last breath to keep the airplane from stalling; HEROES. Keep up the good work. Make us feel safer. 🖤,1113957887456567296,2019-04-05T00:13:51.000Z,1113719943537790976,hananjudi,POS,0.9868751168251038
['1113949815115796480'],334032462,2798626835,@flyethiopian FlightET 302/10 was in “full compliance with emergency procedures” ...,1113949815115796480,2019-04-04T23:41:46.000Z,1113719943537790976,FlyersRights,NEU,0.9301379323005676
['1113936515971809283'],334032462,501209836,"@flyethiopian The report declared the responsibilities on #Boing particularly this specific airplane model #737boing 
My deep condolences to all victim families &amp; to all Ethiopians on this unfortunate and catatstrofic accident ...
 
#saudi",1113936515971809283,2019-04-04T22:48:56.000Z,1113719943537790976,Ra7al_36,NEG,0.7256447672843933
['1113927870399827968'],334032462,1109200635340247041,@flyethiopian More will died eventually as other defects materialize! Fly at your own risk!,1113927870399827968,2019-04-04T22:14:34.000Z,1113719943537790976,2019Upupup,NEG,0.9768407344818115
['1113924925310550017'],334032462,315198093,"@flyethiopian The captain, who was the pilot flying, did not react to a stick shaker at all and tried engaging AP twice and failed before retracting the flaps. All in non-compliance with Boeing's instruction on stick shaker recovery. Professionalism?",1113924925310550017,2019-04-04T22:02:52.000Z,1113719943537790976,hu_willy,NEG,0.9285963773727417
['1113882002913030144'],334032462,2791635493,@flyethiopian It seems like there is serious issues with Boeing. They just delayed the software update with no certain time table. I know @flyethiopian is a reputable airline.,1113882002913030144,2019-04-04T19:12:19.000Z,1113719943537790976,AfricanBoy_87,NEG,0.9649325013160706
['1113861784279179265'],334032462,793862827995832321,"@flyethiopian Cars we drive, the trains we run on the rails, the airplanes we fly and even the bicycles and scooters we ride have all undergone under continuous modifications and improvements based on lessons learnt from tragedies like this one, unfortunately. Stay strong &amp; tall @flyethiopian",1113861784279179265,2019-04-04T17:51:58.000Z,1113719943537790976,kassaw_bediru,NEG,0.7638696432113647
['1113860337663660032'],334032462,2810008637,@flyethiopian I guess we should be talking of a major lawsuit.,1113860337663660032,2019-04-04T17:46:13.000Z,1113719943537790976,mutei_thanara,NEU,0.8052347898483276
['1113850271795503104'],334032462,1066959202806046720,"@flyethiopian Still praying for the families of the departed during this difficult time.
May the good lord extend immeasurable peace to all affected.",1113850271795503104,2019-04-04T17:06:13.000Z,1113719943537790976,your_mom71,POS,0.7890040874481201
['1113842177384374272'],334032462,1073656170257281027,"@flyethiopian Despit a such report, and pending the issue to be fixed, ET is still quiet keeping B. 737 Max operating. What is also the pilots' point of view ??  God !!!!!!",1113842177384374272,2019-04-04T16:34:03.000Z,1113719943537790976,d_delicat,NEG,0.5764510631561279
['1113838071038873601'],334032462,61081477,"@flyethiopian Boeing Commercial Airplanes President &amp; CEO Kevin McAllister. “We will carefully review the AIB’s preliminary report, and will take any and all additional steps necessary to enhance the safety of our aircraft.” #737MaxUpdate
https://t.co/mPsEN2Dtd5 … https://t.co/LA36PgeUOl",1113838071038873601,2019-04-04T16:17:44.000Z,1113719943537790976,translatorbali,NEU,0.6362367868423462
['1113828271022460930'],334032462,554386949,@flyethiopian Keep on @flyethiopian with your excellent product and outstanding airlines mastership. Boeing @BoeingAirplanes will have to pay for their potential mistakes and wrongdoings. The investigation will provide lights and companies will have to bear responsibilities for their acts.,1113828271022460930,2019-04-04T15:38:48.000Z,1113719943537790976,spiceco_,NEU,0.5536712408065796
['1113822166548541440'],334032462,1105661647392169985,@flyethiopian Nice air lines ever ❤️❤️❤️,1113822166548541440,2019-04-04T15:14:32.000Z,1113719943537790976,yared59710268,POS,0.989465594291687
['1113816222775300097'],334032462,885211176929554432,@flyethiopian Great appreciation to the investigation team and @flyethiopian which will continue to be the greatest Airlines. And shame on @boeingairplanes which still tries to point finger on the deceased.,1113816222775300097,2019-04-04T14:50:55.000Z,1113719943537790976,AlexanderAnten2,NEG,0.5207884311676025
['1113797934401847296'],334032462,31586730,@flyethiopian So how will this get fixed moving forward? Training your pilots in a manner where they fully understand operational procedures? The blame shouldn't go to the pilots on the plane. It should go to how they are being trained in situations like this.,1113797934401847296,2019-04-04T13:38:15.000Z,1113719943537790976,cora_zone3,NEU,0.8312184810638428
['1113795976727339008'],334032462,872622285659688960,@flyethiopian https://t.co/B39HEi2ap1,1113795976727339008,2019-04-04T13:30:28.000Z,1113719943537790976,DaruBest,NEU,0.9567062258720398
['1113787108831969280'],334032462,1094112757794910208,"@flyethiopian One tym forward that never returned,#DearWorld is not a cinema,thanks to our pure opportunity met her,",1113787108831969280,2019-04-04T12:55:14.000Z,1113719943537790976,kt_fetuit,NEU,0.8912598490715027
['1113787094365818881'],334032462,117833750,@flyethiopian But did Ethiopian Airlines UPDATE their procedures with FAA Emergency Airworthiness Directive 2018-23-51? Only planes flying to the US HAVE to update. A lot of foreign countries do not follow FAA Air Wothiness Directives for their domestic acft. That is the big question.,1113787094365818881,2019-04-04T12:55:11.000Z,1113719943537790976,2n6_Federalist,NEG,0.9558683633804321
['1113786535378399232'],334032462,1089989849443168261,@flyethiopian Great Ethiopia,1113786535378399232,2019-04-04T12:52:57.000Z,1113719943537790976,kindie_zewdu,NEU,0.9157640933990479
['1113779358626459649'],334032462,26061992,"@flyethiopian This ""preliminary report"" says nothing except that Ethiopia is defending their pilots without providing the data to back up their statement. How far will this country go to keep its reputation as the ""largest and most successful aviation group in Africa?""",1113779358626459649,2019-04-04T12:24:26.000Z,1113719943537790976,Reba1987,NEU,0.9290375709533691
['1113776217063395328'],334032462,46143317,"@flyethiopian Hypothesis:

The pilots had to turn on the power to the trim motors to undo the MCAS trim.

However, due to the persistent AOA sensor offset and flawed sensor selection MCAS kept overriding the pilots aggressively.

There was no time to recover either. few hundred feet altitude.",1113776217063395328,2019-04-04T12:11:57.000Z,1113719943537790976,ProcessISInc,NEG,0.8939040899276733
['1113775269565878272'],334032462,1623354294,"@flyethiopian Brand new Aircraft Boeing 737 Max 8, Flight# ET 302, All 157 passengers and crew onboard From 35 countries unforgettable and remembered",1113775269565878272,2019-04-04T12:08:11.000Z,1113719943537790976,FikruFikru1979,POS,0.5988922119140625
['1113775161688326144'],334032462,1623354294,"@flyethiopian •Ethiopian Airline became trusted and Successful Airliner because of they spend for all necessary knowledges and Safety, or driven by greater than just profits. Worlds standing by Ethiopian side because of Excellent Pilot was unable to avert disaster.",1113775161688326144,2019-04-04T12:07:46.000Z,1113719943537790976,FikruFikru1979,POS,0.9311253428459167
['1113772742531276800'],334032462,418894994,"@flyethiopian These arrogant Americans already blamed incompetent African pilots with out waiting for the facts, look at this @BoeingAirplanes @BOENYC",1113772742531276800,2019-04-04T11:58:09.000Z,1113719943537790976,Aylah_ZA,NEG,0.9820684790611267
['1113769437969158145'],334032462,1001786709124804608,"@flyethiopian We are always proud of our EAL.
RIP for victims",1113769437969158145,2019-04-04T11:45:01.000Z,1113719943537790976,PPPinEthiopia,POS,0.9548999667167664
['1113765217064898560'],334032462,4754200752,@flyethiopian @WGNNews https://t.co/VQkUfKVjlb,1113765217064898560,2019-04-04T11:28:15.000Z,1113719943537790976,rohnmath,NEU,0.9629850387573242
['1113763709371990016'],334032462,175374220,@flyethiopian Your company is one perfect example of an African success story 👏😝,1113763709371990016,2019-04-04T11:22:15.000Z,1113719943537790976,mukonjemartin,POS,0.9917888045310974
['1113763589402263554'],334032462,3553155135,"@flyethiopian Very important report for Ethiopan 
Airlines. Flight crew performed all procedures to save the plane!",1113763589402263554,2019-04-04T11:21:47.000Z,1113719943537790976,LeifLeimag96,POS,0.663521409034729
['1113760909237915648'],334032462,311913565,"@flyethiopian For those of you who don’t like critical questions. I grew up on planes, have many very experienced friends as pilots. After an accident like this we all should look at all angles, I’m sorry but that incl pilot error but I’m as critical about Boeing.",1113760909237915648,2019-04-04T11:11:08.000Z,1113719943537790976,heinekensdaily,NEU,0.68904709815979
['1113759032408453120'],334032462,2783797406,@flyethiopian Is it really appropriate to be bragging about being the largest and most successful airline in Africa in the first line of such a statement? Rather jarring,1113759032408453120,2019-04-04T11:03:40.000Z,1113719943537790976,Bungle90815,NEG,0.7525541186332703
['1113758391539728385'],334032462,2958138113,@flyethiopian Was never in doubt of the pilot's professionalism. Proud of you boyz!,1113758391539728385,2019-04-04T11:01:07.000Z,1113719943537790976,Fitsumdinberu,POS,0.9908507466316223
['1113753361067773952'],334032462,2557911487,@flyethiopian Again RIP all souls we lost 🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️🧚‍♀️❤️❤️❤️❤️❤️❤️❤️❤️❤️,1113753361067773952,2019-04-04T10:41:08.000Z,1113719943537790976,Drsul2Mimi,NEG,0.7731323838233948
['1113752324894281728'],334032462,117251562,@flyethiopian I’m waiting for the full report,1113752324894281728,2019-04-04T10:37:01.000Z,1113719943537790976,SinfulLiees_,NEU,0.9765163064002991
['1113751600311435265'],334032462,762279772277903360,"@flyethiopian We know for fact that your past was good, your present is wonderful and your future hopefully will be mesmerizing, to say the least.

Let the defamers blow their wicked trumpet. @flyethiopian go high, and we will show them how high is our high!",1113751600311435265,2019-04-04T10:34:08.000Z,1113719943537790976,IbsaIbrahim3,POS,0.9731701612472534
['1113751030368489473'],334032462,4890836332,@flyethiopian What are the actual findings? What are the facts found leading to the crash from the black box and voice recorder?,1113751030368489473,2019-04-04T10:31:52.000Z,1113719943537790976,beesinsight,NEU,0.555184543132782
['1113750189263736832'],334032462,1109200635340247041,@flyethiopian The report does not say if a bird damaged the single AOA@sensor as alleged by Boeing. The sole cause was a malfunctioning MCAS system.,1113750189263736832,2019-04-04T10:28:32.000Z,1113719943537790976,2019Upupup,NEG,0.8105881214141846
['1113747113358299136'],334032462,3069279631,@flyethiopian your Tweet was quoted in an article by @NPR  https://t.co/EhHRLCZSod,1113747113358299136,2019-04-04T10:16:18.000Z,1113719943537790976,ReciteSocial,NEU,0.9457584619522095
['1113747095641567233'],334032462,3069279631,@flyethiopian your Tweet was quoted in an article by @CNBC  https://t.co/U9aX0xaase,1113747095641567233,2019-04-04T10:16:14.000Z,1113719943537790976,ReciteSocial,NEU,0.9309999346733093
['1113745561390338049'],334032462,2539385584,@flyethiopian It still hurts but proud of the crew and  Ethiopian Airlines staff. You all handled this like a champ.,1113745561390338049,2019-04-04T10:10:08.000Z,1113719943537790976,SelaTeka,POS,0.4555904269218445
['1113742332090834944'],334032462,809379103191236608,@flyethiopian No lawsuit?,1113742332090834944,2019-04-04T09:57:18.000Z,1113719943537790976,nktrading7,NEU,0.8676690459251404
['1113739097254789120'],334032462,285153703,"@flyethiopian As usual, we are very much proud of the high caliber, professional and top class Ethiopian pilots and the state of the art @flyethiopian !",1113739097254789120,2019-04-04T09:44:27.000Z,1113719943537790976,EliasKassaye1,POS,0.9888389110565186
['1113737617550475264'],334032462,2261534899,@flyethiopian We'll continue to encourage Africa to patronize our homeland Airline.,1113737617550475264,2019-04-04T09:38:34.000Z,1113719943537790976,Austinmark13,POS,0.9687864184379578
['1113736992540569601'],334032462,2261534899,@flyethiopian We'll continue to sympathies and as well be pround of staffs/crew who sacrificed there https://t.co/mAqWwESNOf this is our homeland https://t.co/E0enz2Jv3s is in Addis Ababa.,1113736992540569601,2019-04-04T09:36:05.000Z,1113719943537790976,Austinmark13,POS,0.7404736280441284
['1113731627312500736'],334032462,877608655,@flyethiopian The Boeing paid media including @nytimes @washingtonpost @FT @CNNAfrica Can you hear this? Your efforts to exonerate Boeing from the tragedy is futile. This is why we always trust @flyethiopian. Tell your greedy coroporation that it is all there.,1113731627312500736,2019-04-04T09:14:46.000Z,1113719943537790976,JaweBorata,NEG,0.6796806454658508
['1113731381929050113'],334032462,1565014074,"@flyethiopian Preliminary report of data from @Flyethiopian plane that crashed last month states that flight crew performed all procedures from @Boeingairplanes but could not control the nose-diving #737 Max 8 jet.
  https://t.co/klgkUR48ki",1113731381929050113,2019-04-04T09:13:48.000Z,1113719943537790976,safariwithselle,NEU,0.6206905245780945
['1113730930127060992'],334032462,1032986856617664512,@flyethiopian Further proof of how people blaming the pilots have no point whatsoever.,1113730930127060992,2019-04-04T09:12:00.000Z,1113719943537790976,SpeedBird_199,NEG,0.970933735370636
['1113730563276443648'],334032462,311913565,"@flyethiopian I’m not speculating. I asked the airline before and got no answer and from the reliable sources I can’t seem to find the confirmation re my two questions. I do believe that Boeing f up (MCAS training and ‘optional safety extras’, from now standard).",1113730563276443648,2019-04-04T09:10:33.000Z,1113719943537790976,heinekensdaily,NEG,0.8734516501426697
['1113729500292972544'],334032462,872622285659688960,@flyethiopian The Boeing 737 max must be banned all over the world. The 737 model can not handle the new large engines installed on the max. There is also most probably a design flaw. It seems Boeing carelessly rushed to build the 737 max in hopes of competing with the Airbus A320 Neo.,1113729500292972544,2019-04-04T09:06:19.000Z,1113719943537790976,DaruBest,NEG,0.9745054244995117
['1113728342027571200'],334032462,872622285659688960,@flyethiopian The fault is Boeings who manufactured a dangerous airplane. Its MCAS system forces the planes nose down making it very difficult for pilots. Pilots around the world including usa complained of the difficulty they had with the Boeing 737 max.,1113728342027571200,2019-04-04T09:01:43.000Z,1113719943537790976,DaruBest,NEG,0.9701059460639954
['1113727053612953600'],334032462,4446478635,"@flyethiopian Sadness for the people who perished and their loved ones.
Facts will emerge",1113727053612953600,2019-04-04T08:56:36.000Z,1113719943537790976,wshelaney,NEG,0.9748074412345886
['1113726754705760256'],334032462,885248069025112064,@flyethiopian Yared Getachew and Ahmed Nur we’re always thinking of and proud of your heroism. We fully trust these two extremely capable pilots applied their training and skills fully to save the plane.,1113726754705760256,2019-04-04T08:55:25.000Z,1113719943537790976,afm601,POS,0.9869546294212341
['1113721919021436929'],334032462,133804912,@flyethiopian When you say boeing..You didn't specifically mention the max model. Or is it that it doesn't matter?...Just asking,1113721919021436929,2019-04-04T08:36:12.000Z,1113719943537790976,cgese,NEU,0.7867819666862488
['1113721473582104577'],334032462,180681238,@flyethiopian @AlexInAir,1113721473582104577,2019-04-04T08:34:25.000Z,1113719943537790976,rebecca_kassa,NEU,0.9739266037940979
['1113721358842773504'],334032462,311913565,@flyethiopian Is it true that non of your pilots have ever trained on a 737 Max simulator? And did the co-pilot have only 200 hours of experience?,1113721358842773504,2019-04-04T08:33:58.000Z,1113719943537790976,heinekensdaily,NEU,0.5885491967201233
