created_at,in_reply_to_user_id,author_id,conversation_id,id,edit_history_tweet_ids,text,author_name,label,score
2019-03-10T04:40:52.000Z,334032462,1090827911081414656,1103932375229116417,1104602998938972162,['1104602998938972162'],@flyethiopian Proud of u girls ....show z world we are z best,AbdellaBakir,POS,0.9921332597732544
2019-03-09T15:41:36.000Z,334032462,1662599244,1103932375229116417,1104406891600535554,['1104406891600535554'],@flyethiopian Very proud of them &amp; the Airline!,AgerWodad,POS,0.9908171892166138
2019-03-09T11:07:17.000Z,334032462,992255298,1103932375229116417,1104337859564187649,['1104337859564187649'],@flyethiopian I am proud to see ETHIOPIAN Airlines all women flight crews on International women ‘s day to Oslo.Happy to see Hirut Teferi.,BirhanuGebreyes,POS,0.9907562136650085
2019-03-09T10:35:24.000Z,334032462,110392692,1103932375229116417,1104329832085815298,['1104329832085815298'],@flyethiopian Proud to be part of this flight,Kedir_Adem94,POS,0.9882185459136963
2019-03-09T09:05:33.000Z,334032462,872622285659688960,1103932375229116417,1104307222174154752,['1104307222174154752'],@flyethiopian Congratulation to the flight crew.,DaruBest,POS,0.9736610651016235
2019-03-09T05:32:40.000Z,334032462,614154325,1103932375229116417,1104253646869540864,['1104253646869540864'],@flyethiopian Ethiopian Airlines - the best in African by far! Well done to the Girls &amp; for doing this every year. May the force be with you!!,eaogu,POS,0.9926043748855591
2019-03-08T21:44:50.000Z,334032462,914747555082145792,1103932375229116417,1104135915163738114,['1104135915163738114'],@flyethiopian Its amizing day for Eithiopean women congratulaution.,MyInfo94720810,POS,0.9766830801963806
2019-03-08T20:04:52.000Z,334032462,1088048824436834304,1103932375229116417,1104110756986015744,['1104110756986015744'],@flyethiopian This country is setting good example for many others in the region! Good job Flyethiopia,Abdu58804844,POS,0.9917823076248169
2019-03-08T18:52:52.000Z,334032462,771787169933434880,1103932375229116417,1104092638859485184,['1104092638859485184'],@flyethiopian 💚💛❤️,MikaelAfomia,NEU,0.968341052532196
2019-03-08T18:14:18.000Z,334032462,2255451362,1103932375229116417,1104082930446618624,['1104082930446618624'],@flyethiopian እረ ህገመንግስቱ ተጥሷል፤ባንዲራው እኮ ኮከብ የለውም። https://t.co/uHHFhhNen7,melakushitaye,NEU,0.9169896245002747
2019-03-08T17:50:38.000Z,334032462,206764753,1103932375229116417,1104076976011264000,['1104076976011264000'],"@flyethiopian 🧘‍♀️One day I will get to fly with those beautiful , elegant , talented Geniuses .",Chielozo,POS,0.9808711409568787
2019-03-08T17:25:45.000Z,334032462,2850013240,1103932375229116417,1104070714016055296,['1104070714016055296'],@flyethiopian A good day to fly,Ehu3rd,POS,0.9656535387039185
2019-03-08T17:16:50.000Z,334032462,3360069676,1103932375229116417,1104068469971189760,['1104068469971189760'],@flyethiopian This is a clear indication that our ladies are force to reckon with not only in aviation but also in other spheres. Congratulations,aulymaries,POS,0.9751899242401123
2019-03-08T16:03:16.000Z,334032462,1026302749925945344,1103932375229116417,1104049957898727424,['1104049957898727424'],@flyethiopian @addisstandard I am proud of Ethiopian Airlines women's,TamratMesrak,POS,0.9378533959388733
2019-03-08T15:56:11.000Z,334032462,954802662838587393,1103932375229116417,1104048172677107717,['1104048172677107717'],@flyethiopian You guys are GREAT!,kabbiazi,POS,0.9910739064216614
2019-03-08T15:51:00.000Z,334032462,1030200237602877440,1103932375229116417,1104046869037101057,['1104046869037101057'],"@flyethiopian I am so happy to read this news on the front line of the national news paper in Oslo, Norway. I live in Oslo. So Proud of u girls. 👍🏼😍",girma_shewa,POS,0.9926546812057495
2019-03-08T13:41:48.000Z,334032462,348755850,1103932375229116417,1104014355392131072,['1104014355392131072'],"@flyethiopian Kudos Ladies! 
@flyethiopian 
#Ethiopia 
#Allwomenoperated 
#InternationalWomansDay 
#oslo 
💚💛♥️ https://t.co/OKAdQMZszI",myEthiopiaa,POS,0.9880518913269043
2019-03-08T11:35:41.000Z,334032462,399735688,1103932375229116417,1103982617798553600,['1103982617798553600'],@flyethiopian Wonderful...love this❤️❤️❤️,MsTia228,POS,0.9926385879516602
2019-03-08T10:21:34.000Z,334032462,23573420,1103932375229116417,1103963962943684608,['1103963962943684608'],"@flyethiopian This is the best way to celebrate HER.
#IWD2019",travelhouseuk,POS,0.9921372532844543
