text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
"@MAS tolong buat benda ni, kalau kita berusaha, allah pasti akan tolong, demi MH370 http://t.co/ZJEEaQoxyH",19106719,"3 April 2014, 7:00:24 PM",442935028704497664,451690677517045760,['451690677517045760'],1637874146,AizulRisyam,NEU,0.9460856914520264
@MAS my favourite trip or place,19106719,"10 March 2014, 8:25:31 PM",442935028704497664,443014790441467905,['443014790441467905'],2382112260,sranveer3,POS,0.9474520683288574
"@MAS truly sorry it just came across my mind,  #MH370 might have been kidnapped by #ufo #BelieveItOrNot as #ufo is undetectable with radar",19106719,"10 March 2014, 4:31:56 PM",442935028704497664,442956008680218625,['442956008680218625'],61081477,translatorbali,NEG,0.7184977531433105
@MAS after 3 days the people affected by this tragedy need more than a diplomatic response. #PrayForMH370,19106719,"10 March 2014, 4:28:36 PM",442935028704497664,442955167176986624,['442955167176986624'],236865979,JG_82,NEU,0.5343207120895386
"@MAS Im an Airline Manager from India. Just a piece of v impt advise - please check &amp; cross check your no-shows, gate no-shows &amp; bag details",19106719,"10 March 2014, 4:02:27 PM",442935028704497664,442948586041384960,['442948586041384960'],103043054,SKRahman,NEU,0.9048871397972107
"@MAS Can you confirm, that the ticket of the person travelling with the australian passport on #MH370 was directed to Frankfurt/Germany?",19106719,"10 March 2014, 3:53:35 PM",442935028704497664,442946354491301888,['442946354491301888'],1374400544,J_Kreller,NEU,0.9738657474517822
@MAS,19106719,"10 March 2014, 3:46:07 PM",442935028704497664,442944475434713088,['442944475434713088'],2362782583,MdRosnah,NEU,0.9249069094657898
@MAS. Where is mh 370,19106719,"10 March 2014, 3:44:04 PM",442935028704497664,442943962391666688,['442943962391666688'],2344960482,Andrian10466636,NEU,0.9607139229774475
@MAS,19106719,"10 March 2014, 3:42:53 PM",442935028704497664,442943664017248256,['442943664017248256'],636141169,ErulPurple,NEU,0.9249069094657898
@MAS Saw a video of a relative ringing someone's phone on the plane. Can't that signal be used to track the plane?,19106719,"10 March 2014, 3:36:17 PM",442935028704497664,442942002208837632,['442942002208837632'],1028402084,Teekkayy,NEU,0.7793295979499817
@MAS سبحناالله. مها سوچي الله. الله لبه معتهواي.,19106719,"10 March 2014, 3:26:29 PM",442935028704497664,442939535698059265,['442939535698059265'],1062268208,AdzlanA,NEU,0.9424413442611694
@MAS pray for the best !,19106719,"10 March 2014, 3:14:14 PM",442935028704497664,442936452549054464,['442936452549054464'],253089737,eyemed,POS,0.9595587849617004
@MAS bravo!,19106719,"10 March 2014, 3:09:15 PM",442935028704497664,442935201027461120,['442935201027461120'],58410452,ramblingpc,POS,0.9559633731842041
