text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
@MAS,19106719,"8 March 2014, 12:45:36 PM",441407837411868672,442174272555851776,['442174272555851776'],487289823,LuisHDz0515,NEU,0.9249069094657898
"@MAS hi sir, may i know must i hv the passport number to book the flight to taiwan? Tq.",19106719,"7 March 2014, 10:12:11 AM",441407837411868672,441773277082423296,['441773277082423296'],138644314,funfunstacy,NEU,0.9699944257736206
@MAS Tried to book flght on yr website said my card was declined twice I booked later with agent. But you've tkn 2 payments from my account,19106719,"6 March 2014, 2:52:15 PM",441407837411868672,441481370360369152,['441481370360369152'],20057038,Hallmork,NEG,0.535220742225647
@MAS false,19106719,"6 March 2014, 12:05:34 PM",441407837411868672,441439422181941248,['441439422181941248'],760814954,Safri1977,NEU,0.6541684865951538
@MAS false,19106719,"6 March 2014, 10:51:13 AM",441407837411868672,441420713044365313,['441420713044365313'],2229946639,QrinceL,NEU,0.6541684865951538
@MAS true,19106719,"6 March 2014, 10:30:17 AM",441407837411868672,441415445321502720,['441415445321502720'],271751435,JelitaAisya,NEU,0.9227651357650757
@MAS True.,19106719,"6 March 2014, 10:22:27 AM",441407837411868672,441413474220924928,['441413474220924928'],839448438,Iz_Azman,NEU,0.9610711932182312
@MAS False...it was 1973 Malaysia introduced Malaysia Airline Limited(MAL),19106719,"6 March 2014, 10:19:04 AM",441407837411868672,441412620122202112,['441412620122202112'],159687444,uncleawang,NEU,0.8355840444564819
@MAS malaysian airways limited FROM Malayan Airways Limited,19106719,"6 March 2014, 10:01:57 AM",441407837411868672,441408313579016192,['441408313579016192'],31592791,mutalibs,NEU,0.9767738580703735
@MAS true,19106719,"6 March 2014, 10:01:45 AM",441407837411868672,441408263804837888,['441408263804837888'],278341405,kokowman,NEU,0.9227651357650757
@MAS False,19106719,"6 March 2014, 10:01:04 AM",441407837411868672,441408092421357569,['441408092421357569'],41553497,sayaEM,NEU,0.750278651714325
@MAS false!,19106719,"6 March 2014, 10:00:32 AM",441407837411868672,441407958442729473,['441407958442729473'],31592791,mutalibs,NEG,0.5015798807144165
