text,in_reply_to_user_id,id,author_id,edit_history_tweet_ids,conversation_id,created_at,author_name,label,score
"@MAS SIR,MY TIMEWARP APPLICATION IS FOR SUCH AIR MYSTRIES,IT MAY LOOK,UNBELEIABLE,BUT,I THINK,IT WILL HELP AIR DISASTERS",19106719,444428927927586817,580938218,['444428927927586817'],443230320200921088,2014-03-14T11:04:48.000Z,timewarp3369,NEG,0.8528574109077454
"@MAS mencarinya jangan di Laut Cina Selatan, tidak akan pernah dapat, cari di laut dan pulau"" antara Sumatra dan Malaysia,disana  jatuhnya.",19106719,443766293301178368,112433233,['443766293301178368'],443230320200921088,2014-03-12T15:11:43.000Z,RensaNapitupulu,NEU,0.976737916469574
@MAS I wonder why only news and search are based on Malaysia radars (navy/army or air force ) ?,19106719,443659233041469440,2373494582,['443659233041469440'],443230320200921088,2014-03-12T08:06:18.000Z,Shankhochil1017,NEG,0.6656064987182617
@MAS http://t.co/9aJUZjpLDt,19106719,443483216473640960,1613707099,['443483216473640960'],443230320200921088,2014-03-11T20:26:52.000Z,canadianrite,NEU,0.9529558420181274
"@MAS Since an earlier report of fam cell phones still ringing, can't u trace cell phones? Also, if ringing, prob not under water? prayers",19106719,443465982716047360,1023187212,['443465982716047360'],443230320200921088,2014-03-11T19:18:24.000Z,JoeyVarcoMusic,NEU,0.7490615844726562
@MAS I kno 2 ways to get more info #MH370. 1)check passenger comms during flight. Ask relatives. 2) satellite visual tracking from NASA,19106719,443410329046097920,174279417,['443410329046097920'],443230320200921088,2014-03-11T15:37:15.000Z,AndrewWPeters,NEU,0.947317361831665
"@MAS hope this case will be better, and MH370 can be found. Amen",19106719,443292718593093632,1687619378,['443292718593093632'],443230320200921088,2014-03-11T07:49:54.000Z,kenneth_salim,NEU,0.5042728781700134
"@MAS I read somewhere that passangers phones are still ringing, could the ""find my iphone"" app or similar help? #PrayForMH370  ♥♥",19106719,443289140688584704,1650790615,['443289140688584704'],443230320200921088,2014-03-11T07:35:41.000Z,ZimMichelle98,NEG,0.5785271525382996
"@MAS . This is unusual  disappearance, lets think unusually and consider the possibility of high jack by aliens from outer-space.  Funny!!",19106719,443285375721963520,145591449,['443285375721963520'],443230320200921088,2014-03-11T07:20:44.000Z,stanleyusoro,POS,0.5665988326072693
@MAS my friend Alfian got an info from his spiritual master Mr D aircraft location now is around kitty hawk seamount http://t.co/QP4z4cf8hJ,19106719,443266569162874880,51969557,['443266569162874880'],443230320200921088,2014-03-11T06:06:00.000Z,johnthegreatman,NEU,0.9104296565055847
@MAS u can go through his number Archapada Alfian 085275223388 about the location,19106719,443266558106673152,51969557,['443266558106673152'],443230320200921088,2014-03-11T06:05:57.000Z,johnthegreatman,NEU,0.9826658964157104
@MAS .I checked flight 370 last bearing.I think the ocean may be wrong.Try Keynir Lake.its looks to be secluded area.,19106719,443259777008009216,14449036,['443259777008009216'],443230320200921088,2014-03-11T05:39:00.000Z,Insider747,NEG,0.6601155400276184
"From 1 hour ago, latest @MAS statement on #MH370...http://t.co/xksOQl2pHT
#MASalert",19106719,443249132484837376,864233112,['443249132484837376'],443230320200921088,2014-03-11T04:56:43.000Z,tomkorocz,NEU,0.9812729358673096
@MAS fighting n my prayers goes to MH370 and all da peoples abroad include Pilots n cabin crew.,19106719,443249038373031936,269168007,['443249038373031936'],443230320200921088,2014-03-11T04:56:20.000Z,c4n6y91rl,NEU,0.5070439577102661
"@MAS we always praying for the best,for the passengers,for the crews,for the MH370",19106719,443238412544245760,369032982,['443238412544245760'],443230320200921088,2014-03-11T04:14:07.000Z,eleazarnafrizal,POS,0.7658230066299438
"Keep praying! “@MAS: [#MASalert] As we enter into Day 4, the aircraft is yet to be found. SAR teams now expanded scope beyond flight path”",19106719,443235393731719168,33447308,['443235393731719168'],443230320200921088,2014-03-11T04:02:07.000Z,wongjulee,POS,0.7611634135246277
@MAS #PrayForMH370,19106719,443234587909447680,236901798,['443234587909447680'],443230320200921088,2014-03-11T03:58:55.000Z,ukhone,NEU,0.9503908753395081
@MAS we all always give prayers for all the victim and your company towards this tragedy..amin..#PrayForMH370,19106719,443233349230792704,1004291539,['443233349230792704'],443230320200921088,2014-03-11T03:53:59.000Z,ayulash,NEU,0.7111020684242249
"RT @MAS: As we enter into Day 4, the aircraft is yet to be found. SAR teams now expanded scope beyond flight path http://t.co/mOVm3fsoh0",19106719,443233217009569792,16334480,['443233217009569792'],443230320200921088,2014-03-11T03:53:28.000Z,MickiMaynard,NEU,0.9165753722190857
@MAS  why not dive the deep sea to rescue ? needs  a lot of divers,19106719,443232828596031490,2164399676,['443232828596031490'],443230320200921088,2014-03-11T03:51:55.000Z,zmrbjx,NEU,0.9603685736656189
@MAS come back,19106719,443231923872100352,2380144308,['443231923872100352'],443230320200921088,2014-03-11T03:48:20.000Z,FabianSham,POS,0.6213852763175964
@MAS #tmlt this is a picture of an island off the coast of vietnam on google earth,19106719,443231733602078720,2367689550,['443231733602078720'],443230320200921088,2014-03-11T03:47:34.000Z,sucreetspice,NEU,0.9456542134284973
Latest on #MH370. I reckon @MAS is doing a very good job at communicating in very difficult circumstances. http://t.co/XJmR6s1lJT”,19106719,443231690912047104,107599352,['443231690912047104'],443230320200921088,2014-03-11T03:47:24.000Z,andrew_lund,POS,0.9506859183311462
@MAS will they search land? seems odd- million planes a day and this is the only one on gEarth. http://t.co/GbyjZFxRjR,19106719,443231428881698817,2367689550,['443231428881698817'],443230320200921088,2014-03-11T03:46:22.000Z,sucreetspice,NEG,0.8451318740844727
@MAS can ask NASA for aid?,19106719,443231229609914368,57193419,['443231229609914368'],443230320200921088,2014-03-11T03:45:34.000Z,darrenwen,NEU,0.9776942729949951
“@MAS: [#MASalert] ...the aircraft is yet to be found. SAR teams now expanded scope beyond flight path http://t.co/RXQ2xn7nLm” #MH370,19106719,443230962483068928,90282879,['443230962483068928'],443230320200921088,2014-03-11T03:44:30.000Z,themcconicowire,NEU,0.9705575108528137
@MAS Are high altitude JET-STREAM WINDS being looked into??,19106719,443230681011716096,2180495017,['443230681011716096'],443230320200921088,2014-03-11T03:43:23.000Z,Tech2Yantra,NEU,0.9636479020118713
@MAS prayers. God is in control,19106719,443230490989166592,1202845584,['443230490989166592'],443230320200921088,2014-03-11T03:42:38.000Z,iam_NY,POS,0.8728839159011841
