created_at,id,text,in_reply_to_user_id,author_id,conversation_id,edit_history_tweet_ids,author_name,label,score
2014-03-17T01:56:53.000Z,445378206917357568,@MAS yeah because that really helps the situation,19106719,859870340,443954440312090625,['445378206917357568'],maddycoleiro,POS,0.9808453321456909
2014-03-16T05:59:06.000Z,445076773777448961,@MAS sounds more like PR strategy than act of respect. Intensify search &amp; investigation to help victims' families. #somethingsmellsfishy,19106719,1948150794,443954440312090625,['445076773777448961'],JesicaLSantos,NEG,0.8760715126991272
2014-03-16T04:47:26.000Z,445058739125903360,@MAS ha mark of respect....no one wanted to fly on flights named that..lol so u was losing business..dont say its for respect..,19106719,1048294088,443954440312090625,['445058739125903360'],TheCarterFilez,NEG,0.929446816444397
2014-03-15T22:48:02.000Z,444968293573865472,"@MAS can't believe it took you so long,,,, it was the obvious thing to do immediately!",19106719,136428177,443954440312090625,['444968293573865472'],helenmw2906,NEG,0.8955487012863159
2014-03-15T16:35:37.000Z,444874570923651072,@MAS wise decision,19106719,414525821,443954440312090625,['444874570923651072'],mossezidane,POS,0.8224008679389954
2014-03-15T09:33:49.000Z,444768418416185344,@MAS prays for mh 370,19106719,2390647182,443954440312090625,['444768418416185344'],FKhodir,NEU,0.9313239455223083
2014-03-15T06:17:49.000Z,444719097071169536,@MAS,19106719,2390436793,443954440312090625,['444719097071169536'],mahadzir_mazil,NEU,0.9518000483512878
2014-03-15T00:16:23.000Z,444628138903887873,"@mas I don't care a bunch people in missin #Malaysian AL, but I'm concerned of the  million dead people of starvation in #Africa",19106719,358575263,443954440312090625,['444628138903887873'],isep_saepul,NEG,0.9572671055793762
2014-03-14T18:46:06.000Z,444545017692966912,@MAS How will that help? #PrayForMH370,19106719,46465008,443954440312090625,['444545017692966912'],shamsiaquraishi,NEU,0.8630093336105347
2014-03-14T15:25:12.000Z,444494463021621248,@MAS find the plane and stop the cover up,19106719,180519272,443954440312090625,['444494463021621248'],Catt73ArmyMom,NEG,0.7061079144477844
2014-03-14T02:18:40.000Z,444296522704756736,@MAS : We'll be retiring flight codes MH370 &amp; MH371 as a mark of respect to the pax &amp; crew of the missing MH370 http://t.co/69f6r6dlyG,19106719,234791295,443954440312090625,['444296522704756736'],Aviacons,NEU,0.9413108229637146
2014-03-14T00:50:06.000Z,444274234517245952,"@MAS The mystery goes on, will Malaysian flight 370 ever be found",19106719,1393033387,443954440312090625,['444274234517245952'],chookonstanley,NEU,0.5837540626525879
2014-03-13T23:26:22.000Z,444253161080246273,@MAS the plane is more important bye,19106719,1594856954,443954440312090625,['444253161080246273'],livsghost,NEU,0.9160892367362976
2014-03-13T22:52:30.000Z,444244638975524865,@MAS,19106719,2387374406,443954440312090625,['444244638975524865'],hasdoang8888,NEU,0.9518000483512878
2014-03-13T21:36:03.000Z,444225399900622848,@MAS it is standard to change the flight number for any airline after a loss. I personally think MAS are doing all they can. Prayers sent.,19106719,806473470,443954440312090625,['444225399900622848'],Stuart58143471,NEU,0.9304765462875366
2014-03-13T19:30:37.000Z,444193835170553856,@MAS hey note to self don't fly mayalsia airlines they can't find there ass with both hands in broad daylight,19106719,232751028,443954440312090625,['444193835170553856'],carbine10101,NEG,0.9725763201713562
2014-03-13T19:03:26.000Z,444186992851832832,“@MAS: We'll be retiring flight codes MH370 &amp; MH371 as a mark of respect to the pax &amp; crew of the missing MH370 http://t.co/t0eLs4SCdM” -:(,19106719,105872602,443954440312090625,['444186992851832832'],akd100,NEU,0.9323490262031555
2014-03-13T17:32:24.000Z,444164086092537856,@MAS AIRLINES SUCH OG OX FLL SEE EMS USA MALOX MAY BE OF HELP GOA @nelsonlariccia5 FACEBOOK LARICCIA NELSON MY LINKS AND ALSO ON YOUR SITE @,19106719,223171129,443954440312090625,['444164086092537856'],nelsonlariccia,NEU,0.7471123337745667
2014-03-13T17:27:09.000Z,444162762051047425,"@MAS I dreamed about dat plane no fall there cindicate ... I saw it in village near china mafia cindicate n ask them work,Why I dream lk ts?",19106719,1599424014,443954440312090625,['444162762051047425'],Khaduj240609,NEU,0.9502758979797363
2014-03-13T17:24:45.000Z,444162157651832833,@MAS please search between the border of malaysia &amp; thailand on the beach underneath  a tall cliff #MH370,19106719,166060432,443954440312090625,['444162157651832833'],ewinkdeejay,NEU,0.9774898886680603
2014-03-13T15:50:07.000Z,444138341986869249,@MAS ..its not goodbye yet to mh370..dont give up on her,19106719,537416705,443954440312090625,['444138341986869249'],manness1,NEU,0.9315938949584961
