edit_history_tweet_ids,in_reply_to_user_id,author_id,text,id,created_at,conversation_id,author_name,label,score
['445671754409971712'],19106719,1573146241,@MAS,445671754409971712,2014-03-17T21:23:21.000Z,444331844574539776,EmmaJA01,NEU,0.9518000483512878
['445164747059920896'],19106719,167851036,@MAS u r so useless !,445164747059920896,2014-03-16T11:48:41.000Z,444331844574539776,MiSs_L_cOcOnUt,NEG,0.9840233325958252
['445123034882387968'],19106719,2391134706,@MAS we are confident that everyone out there are still alive..please hear our prayer and come home to your loved ones..,445123034882387968,2014-03-16T09:02:56.000Z,444331844574539776,BiLiberius,POS,0.9387689828872681
['445101901378359296'],19106719,157908052,@mas  why can't u investigate by last received  mobile signals of passenger boarded in to tht flight,445101901378359296,2014-03-16T07:38:57.000Z,444331844574539776,pankil_star,NEG,0.8476784229278564
['444981511490514944'],19106719,330621680,@MAS u have no leads because you're a bunch of morons!,444981511490514944,2014-03-15T23:40:34.000Z,444331844574539776,FamilyPrac64,NEG,0.9850226044654846
['444777974576218112'],19106719,551326592,"@MAS #MH370 With over 2000 satellites orbiting the earth, hard to believe there's not a single trace of this plane anywhere..",444777974576218112,2014-03-15T10:11:47.000Z,444331844574539776,mitesh1810,NEU,0.6477754712104797
['444770005251399680'],19106719,123497720,@MAS  I could not find my car at the Rose Bowl for 3 HOURS after the Super Bowl game!  So never give-up hope!!!,444770005251399680,2014-03-15T09:40:07.000Z,444331844574539776,corvetteBeth,NEG,0.9550412893295288
['444757804528570368'],19106719,2197164752,@MAS hi this is intuitive clairvoyant Karuna M giving you some info abt d missing flight d search of d flight shub b intensified in d west,444757804528570368,2014-03-15T08:51:38.000Z,444331844574539776,karunas_eye,NEU,0.964495062828064
['444708022762233856'],19106719,2307067735,@MAS but my rules the jet not droped at disconnection place and second she travel of the front about 200-300 km or left or right,444708022762233856,2014-03-15T05:33:49.000Z,444331844574539776,sheshramsirvi,NEU,0.9733850359916687
['444707571308302336'],19106719,2307067735,@MAS Malaysia jet is disapared when leave the connection of k pur radar in that case two mistak responsible 1radar mistake 2piolot but,444707571308302336,2014-03-15T05:32:01.000Z,444331844574539776,sheshramsirvi,NEG,0.924932599067688
['444704248991719424'],19106719,282854342,@MAS Why would you not report a hijack? Why would you keep families in despair for so long ? #heartless,444704248991719424,2014-03-15T05:18:49.000Z,444331844574539776,The1770Impact,NEG,0.9845048189163208
['444677448341282817'],19106719,1179478519,@MAS 我們的飛機在哪兒！,444677448341282817,2014-03-15T03:32:20.000Z,444331844574539776,Bazinga531,NEU,0.9293723702430725
['444657205560614913'],19106719,1914086564,@MAS,444657205560614913,2014-03-15T02:11:53.000Z,444331844574539776,raboodj,NEU,0.9518000483512878
['444647975575228416'],19106719,2193271711,@MAS hope n always prey....amin,444647975575228416,2014-03-15T01:35:13.000Z,444331844574539776,AinaRynn,NEU,0.7425175309181213
['444642228099907584'],19106719,276899256,@MAS If the phones of passengers are still ringing then the plane can be located using these phones.,444642228099907584,2014-03-15T01:12:22.000Z,444331844574539776,ChemaswetKisos,NEU,0.9356606006622314
['444639339733991424'],19106719,63740523,"@MAS Of course not.  You have ZERO security measures, your people only lie and interfere with the investigation-you SHOULD be grounded NOW",444639339733991424,2014-03-15T01:00:54.000Z,444331844574539776,LauraStraightUp,NEG,0.9844022989273071
