edit_history_tweet_ids,id,text,author_id,created_at,conversation_id,in_reply_to_user_id,author_name,label,score
['446455831698354176'],446455831698354176,@MAS Sokongan untuk MAS tetap berterusan susah atau senang.MAS tetap yang terbaik di dunia.doa #MH370 dan ♥.,2177672006,2014-03-20T01:18:59.000Z,445377831363559425,19106719,ZairinIsmail,NEU,0.9685640335083008
['446414278816305152'],446414278816305152,"@MAS please take the US support offered. Pride has no place now, families need answers.",228222356,2014-03-19T22:33:52.000Z,445377831363559425,19106719,pclawlady,NEU,0.5514373183250427
['446405789490884608'],446405789490884608,@MAS  i think it's on a nearby island ( near Malaysia),2396828390,2014-03-19T22:00:08.000Z,445377831363559425,19106719,120Sandra120,NEU,0.9818405508995056
['446329276741079040'],446329276741079040,@MAS I believe Capt. Zaharie is not a terorist instead of a brave person trying his best to save all the passengers.,48353709,2014-03-19T16:56:06.000Z,445377831363559425,19106719,gagaganyong,NEU,0.6320343017578125
['446328661843517440'],446328661843517440,"@MAS they are already in a bad situations, dont make it worse.",48353709,2014-03-19T16:53:40.000Z,445377831363559425,19106719,gagaganyong,NEG,0.9819698333740234
['446321850218332160'],446321850218332160,"@MAS and please dont make any bullshit speculation of a hijacking or murder-suicide anymore, they're NOT a criminal! So please help them.",48353709,2014-03-19T16:26:36.000Z,445377831363559425,19106719,gagaganyong,NEG,0.9613012671470642
['446319325889052672'],446319325889052672,"@MAS stop blabbering about hijacking!!! It's already 11 days, just find them... Their families are waiting.",48353709,2014-03-19T16:16:34.000Z,445377831363559425,19106719,gagaganyong,NEG,0.9622085094451904
['446199149822619648'],446199149822619648,"@MAS 

Could this be the missing plane.? Maybe on its side, partially submerged with only fan out the water. http://t.co/OvC8kt8cnW",2397475886,2014-03-19T08:19:01.000Z,445377831363559425,19106719,GmUmkhalifa,NEU,0.961910605430603
['446198842631794688'],446198842631794688,@MAS http://t.co/Dpz5yjvSPc,2397475886,2014-03-19T08:17:48.000Z,445377831363559425,19106719,GmUmkhalifa,NEU,0.9439132213592529
['446164298700582912'],446164298700582912,@MAS stop to searching MH370 because the plane had exploded in mid-air by someone,230426254,2014-03-19T06:00:32.000Z,445377831363559425,19106719,dhaciddegea88,NEU,0.792743444442749
['446099861168193536'],446099861168193536,@MAS  May GOD BLESS YOU at this time. LEAD ON THE LORD. HE KNOWS WHERE THEY ARE!,503064233,2014-03-19T01:44:29.000Z,445377831363559425,19106719,vickiemanthei,POS,0.9781614542007446
['446046785614524416'],446046785614524416,"As of today, I believe only the passengers, flight crew, &amp; North Korea know what's happening @MAS Malaysia #Flight370 http://t.co/0KyHAOz9Xe",260613249,2014-03-18T22:13:35.000Z,445377831363559425,19106719,TroughtonRadio,NEU,0.9651869535446167
['446036897450958850'],446036897450958850,@MAS Malaysia Airlines Flight MH370 Don't you have Air Marshals on board of all your flights?  Or is this only for the United States?,36200246,2014-03-18T21:34:17.000Z,445377831363559425,19106719,dinotars,NEU,0.839396059513092
