text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
"@flyethiopian Mr. Muilenburg, you should include a resignation, including your colleagues in the management. This is a big boeing blame, and you should react! It is a nice gesture that you apologized, but it will not return those lives.....",334032462,"6 April 2019, 3:59:01 PM",1113719943537790976,1114452438734528513,['1114452438734528513'],958420414438559745,Tomas40916602,NEG,0.9530903100967407
"@flyethiopian It is better for Ethiopian Airlines to cancel its orders for the 737 max 8 and buy 737-800 or 737-900 or opt for the Airbus A320 Neo. Even after the ""fix"" the 737 max will not be trusted by the flying public.",334032462,"6 April 2019, 3:16:36 PM",1113719943537790976,1114441763782045696,['1114441763782045696'],872622285659688960,DaruBest,NEG,0.8657598495483398
@flyethiopian Boeing just identified a second problem with their deadly 737 max.,334032462,"5 April 2019, 5:57:10 PM",1113719943537790976,1114119785690931200,['1114119785690931200'],872622285659688960,DaruBest,NEG,0.971724271774292
"@flyethiopian @EthioEmbassyUK I am so sad about this, for all of you. And for the pilots especially doing the best they could do against a plane which was so rigged against them.",334032462,"5 April 2019, 5:51:13 PM",1113719943537790976,1114118286562689025,['1114118286562689025'],124794635,helenaverley,NEG,0.8953395485877991
"@flyethiopian Cameroonian here, you guys make us proud. We stand with you. May your pain lessen with time.",334032462,"5 April 2019, 3:23:40 PM",1113719943537790976,1114081154381099008,['1114081154381099008'],796169874745786369,PinyinGeh,POS,0.9839386343955994
"@flyethiopian Who ever had a doubts about Ethiopian Airlines &amp; staff Note down on you diary and learn lesson from now on.
 The airline to be proud &amp; follow their footsteps, “Ethiopian Airlines and their staff &amp; leadership”
We will be proud of you for ever!!",334032462,"5 April 2019, 2:22:53 PM",1113719943537790976,1114065856730882048,['1114065856730882048'],764345872830332928,gebayire,POS,0.9872223734855652
@flyethiopian What a wonderful leadership and competent professionalism shown from ET for the whole world following this tragic accident.,334032462,"5 April 2019, 12:55:37 PM",1113719943537790976,1114043896328151040,['1114043896328151040'],1018895486676185088,Muluget94060789,POS,0.873832106590271
@flyethiopian Great writing,334032462,"5 April 2019, 11:18:10 AM",1113719943537790976,1114019370462863360,['1114019370462863360'],98722930,alexiopia,POS,0.9878052473068237
@flyethiopian Heartfelt condolences to all who lost their loved ones. Proud of Ethiopian Airlines for teaching the pilots all the necessary procedures. Proud of the pilots who fought till the last breath to keep the airplane from stalling; HEROES. Keep up the good work. Make us feel safer. 🖤,334032462,"5 April 2019, 7:13:51 AM",1113719943537790976,1113957887456567296,['1113957887456567296'],4047298407,hananjudi,POS,0.926853597164154
@flyethiopian FlightET 302/10 was in “full compliance with emergency procedures” ...,334032462,"5 April 2019, 6:41:46 AM",1113719943537790976,1113949815115796480,['1113949815115796480'],2798626835,FlyersRights,NEU,0.9002338647842407
