in_reply_to_user_id,conversation_id,edit_history_tweet_ids,id,created_at,author_id,text,author_name,label,score
19106719,448110947937165312,['448517519020941312'],448517519020941312,2014-03-25T17:51:24.000Z,2388242935,@MAS prayers for them,edgardg80,POS,0.6409028172492981
19106719,448110947937165312,['448445519761653760'],448445519761653760,2014-03-25T13:05:18.000Z,1416940544,@MAS we offer our Sincere prayers to all the passenger &amp; crew of malaysian airlines MH370 condolence to all relatives ....,odlanor88,NEU,0.7056733965873718
19106719,448110947937165312,['448443331417083904'],448443331417083904,2014-03-25T12:56:36.000Z,2177672006,@MAS saya tetap ♥ MAS.,ZairinIsmail,NEU,0.9747906923294067
19106719,448110947937165312,['448412932318035968'],448412932318035968,2014-03-25T10:55:48.000Z,453843714,@MAS may God put the repose of their soul into peace and eternity! http://t.co/3BPzZjnGRS,ShingShyne,POS,0.8174919486045837
19106719,448110947937165312,['448411838477107200'],448411838477107200,2014-03-25T10:51:28.000Z,1958615208,@MAS my prayers and hope to all passengers that they are still alive,JLayaoen,POS,0.7609038949012756
19106719,448110947937165312,['448406713213800448'],448406713213800448,2014-03-25T10:31:06.000Z,765680912,@MAS Ma-lie-sia!!!!!!!!!!!!!!,liran017,NEG,0.8844399452209473
19106719,448110947937165312,['448368341015875584'],448368341015875584,2014-03-25T07:58:37.000Z,2433708881,@MAS condolence to the bereaved family..We are very sorry in your loss.:(,mj_mag2007,NEG,0.6917611360549927
19106719,448110947937165312,['448347708252643328'],448347708252643328,2014-03-25T06:36:38.000Z,2394027985,@MAS may all the soul be rest in peace...,CenzonJun,POS,0.8734581470489502
19106719,448110947937165312,['448338307047358464'],448338307047358464,2014-03-25T05:59:16.000Z,88937817,"@MAS Heartfelt condolences to the Malaysian Airlines team as well. To our beloved MAS CEO Mr Ahmad Jauhari, pls stay strong sir.",khazian,POS,0.971972644329071
19106719,448110947937165312,['448326680721907712'],448326680721907712,2014-03-25T05:13:04.000Z,2181112129,@MAS,Meilannie2,NEU,0.9518000483512878
19106719,448110947937165312,['448326526392475648'],448326526392475648,2014-03-25T05:12:28.000Z,60636761,@MAS condolences from Ph people...,TOORK,NEU,0.6442219018936157
19106719,448110947937165312,['448324474941624322'],448324474941624322,2014-03-25T05:04:18.000Z,797426359,@MAS,butch040183,NEU,0.9518000483512878
19106719,448110947937165312,['448321134212030464'],448321134212030464,2014-03-25T04:51:02.000Z,2314442077,@MAS sad...condolence to the family..,kirara1411,NEG,0.9492078423500061
19106719,448110947937165312,['448319565957566464'],448319565957566464,2014-03-25T04:44:48.000Z,143705849,@MAS we offer our prayers to the victims and their families,youarehealed,NEU,0.7729540467262268
19106719,448110947937165312,['448318916092116996'],448318916092116996,2014-03-25T04:42:13.000Z,917646794,@MAS stay strong God will provide all the answers... Our prayers from Philippines,nozomifaith0126,POS,0.9179266095161438
19106719,448110947937165312,['448304369071841281'],448304369071841281,2014-03-25T03:44:25.000Z,90543426,@MAS I humbly fuck you,moneky719,NEG,0.9817772507667542
19106719,448110947937165312,['448284154950868992'],448284154950868992,2014-03-25T02:24:05.000Z,631547714,@MAS We need the truth!!!,kellerdutoo,NEU,0.8568075895309448
19106719,448110947937165312,['448276249752788992'],448276249752788992,2014-03-25T01:52:41.000Z,2267333833,@MAS,jubinmathew008,NEU,0.9518000483512878
19106719,448110947937165312,['448270184722092033'],448270184722092033,2014-03-25T01:28:35.000Z,406290393,"“@MAS: We humbly offer our sincere thoughts, prayers
&amp; condolences 2 every1 affected by #MH370 tragedy"" at least families can now hv closure",bevng1971,POS,0.5371495485305786
19106719,448110947937165312,['448267668307460096'],448267668307460096,2014-03-25T01:18:35.000Z,252150806,@MAS How the hell does something like this happen! My heart breaks for the families &amp; passengers. Just awful! I can't believe it! 💔😢,RubyTeuzday,NEG,0.98509281873703
19106719,448110947937165312,['448223155467726849'],448223155467726849,2014-03-24T22:21:42.000Z,1354118108,@MAS MAS as international carrier and reputable airline should make an all out check up on all their aircraft captains and co-pilots!,yem0462,NEU,0.8818444609642029
19106719,448110947937165312,['448220031009456129'],448220031009456129,2014-03-24T22:09:17.000Z,43964874,@MAS keep working to FIND IT!! Closure would be the best gift you could give the families #M370,poliquest,POS,0.6492363810539246
19106719,448110947937165312,['448197104293658626'],448197104293658626,2014-03-24T20:38:11.000Z,411659444,@MAS your murders,kidinamoto,NEG,0.9774917960166931
19106719,448110947937165312,['448192162467823616'],448192162467823616,2014-03-24T20:18:33.000Z,155136946,@MAS :( my condolences to all affected n their family n frnds!! RIP!,ChikooA1,NEG,0.9560285210609436
19106719,448110947937165312,['448182014337089536'],448182014337089536,2014-03-24T19:38:13.000Z,212544783,@MAS what are you trying to hide?,Weiyi_Wu,NEU,0.9610066413879395
19106719,448110947937165312,['448157289422540800'],448157289422540800,2014-03-24T17:59:58.000Z,1275678547,"@MAS what we need more is clear, logic, and complete chain of truth and proofs.",maoliang900824,NEU,0.96189945936203
19106719,448110947937165312,['448139461969604608'],448139461969604608,2014-03-24T16:49:08.000Z,50731557,@MAS heart breaking so sad #crying,idworld1975,NEG,0.9825401902198792
19106719,448110947937165312,['448137449114304512'],448137449114304512,2014-03-24T16:41:08.000Z,135435635,"@MAS Sending my deepest condolences, thoughts &amp; prayers to the victims &amp; their families involved. This is really devastating. :-( -_-",djsammyt0917,NEG,0.9809000492095947
19106719,448110947937165312,['448136499494526977'],448136499494526977,2014-03-24T16:37:22.000Z,171553344,@MAS our deepest condolences from aching hearts from the Philippines. We are sincerely saddened by your loss. God bless your team.,AngeliPV,NEU,0.6621600985527039
19106719,448110947937165312,['448134310650867712'],448134310650867712,2014-03-24T16:28:40.000Z,2408321814,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/8rUBzhE8db”",lilszz,NEU,0.716444730758667
19106719,448110947937165312,['448132526368772097'],448132526368772097,2014-03-24T16:21:34.000Z,1348029342,@MAS prayers!,Bernhardtbeach,POS,0.5766235589981079
19106719,448110947937165312,['448131133968900096'],448131133968900096,2014-03-24T16:16:02.000Z,251425763,@MAS fuck Malaysia,Lonnie_Bird,NEG,0.9808911085128784
