text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
"@MAS #MH370 really hope #Australian #HMASSuccess will find MH370 in next 24 hrs. CO, Capt. Allison Norris leading 200+ crew. #PrayForMH370",19106719,"22 March 2014, 3:39:46 PM",446597543216951296,447291535424356352,['447291535424356352'],1042272523,camancher2012,NEU,0.7810102701187134
"@MAS Money makes the world go round ,announce big money as prize for anyone who saw plane ?",19106719,"22 March 2014, 12:21:37 AM",446597543216951296,447060472731156480,['447060472731156480'],83529469,Erishari,NEU,0.901462972164154
"@MAS Pls announce Prize money for finders ,Big sum",19106719,"22 March 2014, 12:20:40 AM",446597543216951296,447060234549215232,['447060234549215232'],83529469,Erishari,NEU,0.87359219789505
@MAS Hi im Lorraine my sugestión is to look for flight 370 in the Arctic meaning down the south of Indian Ocean ! I think the plane is there,19106719,"21 March 2014, 7:25:27 PM",446597543216951296,446985939949465601,['446985939949465601'],134913333,LORENASION,NEU,0.9521037340164185
"The World prays for #MH370 @MAS .
Hope it is found safe &amp; sound.
http://t.co/TcvJpWSDHr",19106719,"21 March 2014, 1:03:36 PM",446597543216951296,446889843725844481,['446889843725844481'],192833029,anitaexplorer,POS,0.7611066102981567
@MAS,19106719,"21 March 2014, 8:59:24 AM",446597543216951296,446828389387603968,['446828389387603968'],2346201126,LinkkSamleh,NEU,0.9518000483512878
"@MAS the plane tail down to sea,and now all passengers in the plane in the under water 2000 m",19106719,"21 March 2014, 4:34:42 AM",446597543216951296,446761774700691456,['446761774700691456'],2330289836,nifarianto,NEU,0.9788429737091064
@MAS and than the plane go to spartly island,19106719,"21 March 2014, 4:33:05 AM",446597543216951296,446761369170235393,['446761369170235393'],2330289836,nifarianto,NEU,0.9817180633544922
"@MAS the problem,Co.Pilot over acting swicth off GSP,after his said good bye",19106719,"21 March 2014, 4:31:36 AM",446597543216951296,446760995952660480,['446760995952660480'],2330289836,nifarianto,NEG,0.9677881598472595
"@MAS Assww.for Info fr Indonesia Pesantren Yatim,about MH 370,Down in the sea 4 Km fr south of Spratly Island,please believe me..Insya Allah",19106719,"21 March 2014, 4:29:32 AM",446597543216951296,446760475624087552,['446760475624087552'],2330289836,nifarianto,NEU,0.8006985187530518
@MAS hopefully al s success....gid bless,19106719,"21 March 2014, 2:03:16 AM",446597543216951296,446723668119257088,['446723668119257088'],625084637,zulfikar5383,POS,0.9764536619186401
"@MAS Hello, mind following back, so I can send a DM about a booking? Thank you!",19106719,"21 March 2014, 12:34:46 AM",446597543216951296,446701392871161857,['446701392871161857'],31357534,lloydthelostboy,POS,0.7163289785385132
@MAS,19106719,"20 March 2014, 10:01:52 PM",446597543216951296,446662917069340672,['446662917069340672'],1394844276,yuaysh,NEU,0.9518000483512878
@MAS Hope for the best for all.,19106719,"20 March 2014, 6:02:51 PM",446597543216951296,446602766891220995,['446602766891220995'],764856384,KediriKiss,POS,0.9462444186210632
@MAS amerika menyem bunyikan MH370 . Ada orang yang ingin meminta suaka ke amerika,19106719,"20 March 2014, 5:45:28 PM",446597543216951296,446598391468810240,['446598391468810240'],1952972460,deviherdiansah,NEU,0.9406102895736694
RT “@MAS: The multinational effort to find MH370 continues overnight in both the Northern and Southern corridors - http://t.co/afYpdmKS9a”,19106719,"20 March 2014, 5:43:56 PM",446597543216951296,446598004758564864,['446598004758564864'],162336315,flyidca,NEU,0.9801061749458313
